Model,Type,Mean Accuracy (%),Std Accuracy,Mean F1 Score,Std F1
VGG16,Individual,92.11768851303736,4.875082229405564,0.9212409440616468,0.048821576619190184
VGG19,Individual,90.09866102889359,4.6304421320098506,0.9008848222615892,0.04672361929236204
RESNET34,Individual,91.81465821000707,3.9772562408104974,0.9182010569634074,0.040144648139692915
DENSENET161,Individual,91.35306553911205,3.9337956820369615,0.9132549323716374,0.039553557645749825
ENSEMBLE,Stacked,94.122621564482,3.8879084480531376,0.9415446847132584,0.03843323122314466
